Date	Plot	Species	Sex	Weight	Weight-calibration	
20130716	2	DM	F	na	Y	
20130716	7	DM	M	33	Y	
20130716	3	DM	M	na	Y	
20130716	1	DM	M	na	Y	
20130718	3	DM	M	40	Y	
20130718	7	DM	M	48	Y	
20130718	4	DM	F	29	Y	
20130718	6	DM	F	37	Y	
20130819	8	DO	F	52	Y	
20131017	3	DO	F	33	Y	
20131017	3	DO	F	50	Y	
20131210	9	DO	F	40	Y	
20131210	1	DO	M	45	Y	
20131211	8	DO	F	41	Y	
20131112	9	DS	F	117	Y	
20131113	11	DS	F	126	Y	
20131113	17	DS	M	132	Y	
20131113	14	DS	F	113	Y	
20131113	11	DS	F	122	Y	
20131113	4	DS	F	107	Y	
20131113	4	DS	F	115	Y	
20140109	1	DM	M	40	Y	
20140109	1	DM	F	36	Y	
20140313	1	DM	F	51	Y	
20140313	1	DM	F	44	Y	
20140313	1	DS	F	146	Y	
20140108	2	NA		na	Y	
20140108	2	DM	M	44	Y	
20140108	2	PF	F	7	Y	
20140108	2	DM	M	45	Y	
20140108	2	OT		na	Y	
20140108	2	DS	M	157	N	
20140108	2	OX		na	Y	
20140218	2	NA	M	218	N	
20140218	2	PF	F	7	Y	
20140218	2	DM	M	52	Y	
20140311	3	PF	M	8	Y	
20140408	3	NA	F	na	Y	
20140506	3	na		na	Y	
20140518	3	NA	F	182	Y	
20140609	3	OT	F	29	Y	
20140708	3	NA	F	115	Y	
20140708	3	NA	M	190	Y	
19780108	4	DM	F	37	Y	
19780108	4	DM	M	na	Y	
19780108	4	DM	F	48	Y	
19780108	4	DO	M	52	Y	
19780108	4	OL	M	35	Y	
						
